title,company,location,job_type,sector,min_salary,max_salary,avg_salary,salary_raw,date_posted,url,source
Sales Engineer,Early Global Resources Ltd,Lagos,Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/sales-engineer-6qdp7j,jobberman
HR and Admin Executive,Inkastrans Limted,Lagos,Full Time,Human Resources,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/hr-and-admin-officer-rr8mr9,jobberman
Sales and Customer Support Executive,M&H Optical & Eyecare clinic,Lagos,Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/sales-and-customer-support-executive-qz2x7n,jobberman
Accountant,Soteria Eye Clinic,Lagos,Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/accountant-0k7vwz,jobberman
Human Resource Officer,Soteria Eye Clinic,Lagos,Full Time,Human Resources,,,,Confidential,,https://www.jobberman.com/listings/human-resource-officer-vdwvex,jobberman
Head of Internal Control,Shepherd Trust Microfinance Bank,Lagos,Full Time,Management & Business Development,,,,Confidential,,https://www.jobberman.com/listings/head-of-internal-control-9kjx86,jobberman
Digital Marketer,LandZero Commercial Services Limited,Lagos,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/digital-marketer-k78vgv,jobberman
Business Development Lead/ Sales Person,Roki Foods Ltd,Lagos,Full Time,Marketing & Communications,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/business-develoment-lead-sales-person-7jwmxz,jobberman
Audit Associate,Anonymous,Lagos,Full Time,"Accounting, Auditing & Finance",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/audit-senior-rr808m,jobberman
Business Manager,Easter Tang International Limited,Lagos,Full Time,Management & Business Development,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/business-manager-k78qpx,jobberman
Accountant,Servago International Limited,Lagos,Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/accountant-d9769j,jobberman
Sales Representatives,Felicity Solar Nig Ltd,Lagos,Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/sales-representatives-45n7np,jobberman
Sales Representative,Solar Pro Energy Limited,Lagos,Full Time,Sales,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/sales-representative-j6q2v5,jobberman
HR Officer,Solar Pro Energy Limited,Lagos,Full Time,Human Resources,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/hr-officer-k7829p,jobberman
Event Manager,Bottleking Beverage,Lagos,Full Time,Hospitality & Leisure,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/event-planner-z8pe7q,jobberman
Sales and Marketing Officer,Techstudio Consults,Lagos,Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/sales-and-marketing-officer-45n7vm,jobberman
Store Keeper,Cakes and Cream,Lagos,Full Time,Supply Chain & Procurement,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/store-keeper-6qdz96,jobberman
Chef,Mamatcha,Lagos,Full Time,Food Services & Catering,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/chef-7jw28z,jobberman
Growth Marketing Executive,Kubona,Lagos,Full Time,Marketing & Communications,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/growth-marketing-executive-vdw6xw,jobberman
Driver,Early Global Resources Ltd,Lagos,Full Time,Driver & Transport Services,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/professional-driver-vdw8m8,jobberman
Sales Support Officer,Early Global Resources Ltd,Lagos,Full Time,Admin & Office,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/front-desk-and-sales-support-officer-7jw2vz,jobberman
Area / Sales Manager,Beauty Routine Cosmetics & Embellishments Ltd.,Lagos,Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/area-manager-sales-manager-45nvpm,jobberman
English Teacher,Divine Offspring,Lagos,Full Time,"Research, Teaching & Training",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/english-teacher-z8p0gx,jobberman
Front Desk/Sales Specialist,Deslog Training & Consulting Limited,Lagos,Full Time,Sales,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/front-desksales-specialist-8m4794,jobberman
Customer Service Representative/ Play Guide,Letz Play,Lagos,Full Time,Creative & Design,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/customer-service-play-attendant-at-indoor-playground-learning-center-45nwnv,jobberman
Technical Drawing / Basic Technology Teacher,Emovet Group of Schools,Lagos,Full Time,"Research, Teaching & Training",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/technical-drawing-basic-technology-teacher-9kjvg6,jobberman
Collection Officer,Itunu Essential Enterprise (ALAJO),Lagos,Full Time,"Accounting, Auditing & Finance",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/collection-officer-x8p7kw,jobberman
Lead Tutor,Letz Play,Lagos,Full Time,Creative & Design,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/lead-tutor-vdwvwx,jobberman
Live Stream Anchor,"Foshan Jieko Machinery Equipment Co., Ltd.",Lagos,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/video-social-media-live-stream-anchor-qz28j6,jobberman
Grill Master,G.O.G Chops & Grills,Lagos,Full Time,Food Services & Catering,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/grill-master-j6qx4g,jobberman
Tender Writer,Connect Care,Lagos,Full Time,Marketing & Communications,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/tender-writer-9kjxj6,jobberman
Digital Marketer,Bethesda Child Suport Agency,Lagos,Full Time,Marketing & Communications,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/digital-marketercontent-creator-x8pn98,jobberman
Executive Sales Manager,Evi Coating Nigeria Limited,Lagos,Full Time,Sales,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/executive-sales-manager-d97jwg,jobberman
Concierge,TF Cameron Court Ltd,Lagos,Full Time,Hospitality & Leisure,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/concierge-2k022d,jobberman
Strategy & Partnerships Associate,Intred,Lagos,Full Time,Consulting & Strategy,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/strategy-partnerships-associate-9kj6vv,jobberman
Junior Operations Manager,Intred,Lagos,Full Time,Supply Chain & Procurement,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/junior-operations-manager-z8p506,jobberman
Content Creator and Social Media Manager,Knowls Collines Ltd,Lagos,Full Time,Marketing & Communications,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/content-creatorsocial-media-manager-gmw0d4,jobberman
Sales / Marketing Executive,Speed Express International Logistics & Couriers,Lagos,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/sales-representativesmarketing-executives-j6qw48,jobberman
Customer Service Representative,Colala Logistics,Lagos,Full Time,Customer Service & Support,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/customer-service-representative-2k0njv,jobberman
Teacher,Valentina Montessori and Primary School,Lagos,Full Time,"Research, Teaching & Training",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/teacher-7jwrjm,jobberman
Information Technology,Joatech Global Link investments ltd,Lagos,Full Time,Software & Data,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/information-technology-7jwr7n,jobberman
Accountant,Roki Foods Ltd,Lagos,Full Time,"Accounting, Auditing & Finance",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/accountant-0k7z8e,jobberman
Production/Operations Officer,Jespa Industries Limited,Lagos,Full Time,Quality Control & Assurance,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/productionoperations-officer-qz2gpp,jobberman
Sales and Marketing Manager,Vertex Realty Solutions Limited,Lagos,Full Time,Sales,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/sales-and-marketing-manager-n9pzdw,jobberman
Community Manager,Tantacom Groups,Lagos,Full Time,Creative & Design,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/community-manager-d976wr,jobberman
Creative Design Executive,Tantacom Groups,Lagos,Full Time,Creative & Design,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/creative-design-executive-k78qrj,jobberman
Property Manager and Asset Valuer,AOL Consult,Lagos,Full Time,Estate Agents & Property Management,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/property-manager-and-asset-valuer-k78gp5,jobberman
IT Support Officer,V2D Limited,Lagos,Full Time,Engineering & Technology,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/it-support-officer-erv20j,jobberman
Social Media Manager,Excel and Grace Consulting,Lagos,Full Time,Marketing & Communications,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/social-media-manager-9kjn8v,jobberman
Sales Representative,Anonymous,Lagos,Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/sales-representative-0k74dz,jobberman
Accountant,Jobberman Nigeria Recruitment,Lagos,Full Time,"Accounting, Auditing & Finance",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/accountant-rr8xj9,jobberman
Business Development Specialist,Jobberman Nigeria Recruitment,Lagos,Full Time,Management & Business Development,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/business-development-specialist-45ng6v,jobberman
Head of Accounts & Finance,BPL Nigeria Ltd,Lagos,Full Time,"Accounting, Auditing & Finance",900000.0,1200000.0,1050000.0,"NGN 900,000 - 1,200,000",,https://www.jobberman.com/listings/head-of-accounts-finance-ervmmz,jobberman
Senior Accountant,Anonymous,Lagos,Full Time,"Accounting, Auditing & Finance",400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/senior-accountant-z8pwdr,jobberman
Human Resource Personnel,Shepherd Trust Microfinance Bank,Lagos,Full Time,Human Resources,,,,Confidential,,https://www.jobberman.com/listings/human-resource-personnel-n9p8dk,jobberman
Business Manager,Purple Jewels Limted,Lagos,Full Time,Management & Business Development,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/business-manager-vdwv42,jobberman
Accountant,PazeX Nigeria Limited,Lagos,Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/accountant-pgmq0m,jobberman
User Acquisition / Performance Marketing Manager,Jobberman Nigeria Recruitment,Lagos,Full Time,Management & Business Development,,,,Confidential,,https://www.jobberman.com/listings/user-acquisition-performance-marketing-manager-n9pn9x,jobberman
Project & Medical Communications Assistant,Anonymous,Lagos,Full Time,Creative & Design,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/project-medical-communications-assistant-vdw5wm,jobberman
Creative Executive Assistant,Jobberman Nigeria Recruitment,Lagos,Full Time,Creative & Design,,,,Confidential,,https://www.jobberman.com/listings/creative-executive-assistant-k78q6x,jobberman
Customer Service Representative,Mobile Sport Limited (MSport),Lagos,Full Time,Customer Service & Support,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/customer-service-representative-2k054g,jobberman
Graphics Designer,Jobberman Nigeria Recruitment,Lagos,Full Time,Creative & Design,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/graphic-designer-5pdv4r,jobberman
Customer Experience & Appointments Manager,Anonymous,Lagos,Full Time,Customer Service & Support,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/customer-experience-appointments-manager-2k05rk,jobberman
HR & Admin Manager,Sabi Networks Limited,Lagos,Full Time,Human Resources,,,,Confidential,,https://www.jobberman.com/listings/hr-admin-manager-k78255,jobberman
Sales and Business Development Manager,Sabi Networks Limited,Lagos,Full Time,Sales,600000.0,900000.0,750000.0,"NGN 600,000 - 900,000",,https://www.jobberman.com/listings/senior-sales-executive-x8pqgv,jobberman
Technical Sales Engineer,Jobberman Nigeria Recruitment,Lagos,Full Time,Engineering & Technology,900000.0,1200000.0,1050000.0,"NGN 900,000 - 1,200,000",,https://www.jobberman.com/listings/technical-sales-engineer-45n74z,jobberman
Sales Executive,BODYFIT Ventures Nig,Lagos,Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/bodyfit-ventures-nig-45n6x2,jobberman
Regional Manager,Hans and Rene,Lagos,Full Time,Hospitality & Leisure,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/regional-manager-6qdrvv,jobberman
